invaliditetsgruppe_1919,sindssygdom_eller_aandssvaghed
men_15_til_19_year_olds,466
men_20_til_24_year_olds,468
men_25_til_29_year_olds,486
men_30_til_34_year_olds,566
men_35_til_39_year_olds,535
men_40_til_44_year_olds,466
men_45_til_49_year_olds,427
men_50_til_54_year_olds,349
men_55_til_59_year_olds,326
men_60_til_64_year_olds,264
men_total,4353
women_15_til_19_year_olds,356
women_20_til_24_year_olds,405
women_25_til_29_year_olds,435
women_30_til_34_year_olds,510
women_35_til_39_year_olds,490
women_40_til_44_year_olds,518
women_45_til_49_year_olds,71
women_50_til_54_year_olds,514
women_55_til_59_year_olds,473
women_60_til_64_year_olds,340
women_total,4112
