invaliditetsgruppe_1919,sindssygdom_eller_aandssvaghed,sygdom_i_hjerne_rygmarv_og_periferiske_nerver,neuroser,øjensygdomme,øresygdomme,sygdom_i_aandedrætsorganerne_ikke_tuberkulose,sygdom_i_hjerte_og_blodkar,sygdom_i_fordøjelsesorganerne,sygdom_i_urinoganerne,sygdom_i_knogler_led_og_muskler,tuberkulose,stofskifte_og_blodsygdomme,brok,svulster_herunder_kræft,defekter_og_deformiteter,alderdomssvaghed,uangivet_og_daarlig_specificeret_aarsag,all_diseases
men_15_til_19_year_olds,466,103,93,93,56,18,34,8,6,157,154,10,9,,232,,30,1469
men_20_til_24_year_olds,468,78,101,80,63,25,47,14,4,140,220,6,8,2,277,1,60,1594
men_25_til_29_year_olds,486,76,107,91,56,33,37,16,13,152,233,10,15,3,279,3,86,1696
men_30_til_34_year_olds,566,91,119,72,46,44,53,25,9,163,210,13,20,1,331,3,118,1884
men_35_til_39_year_olds,535,103,97,95,41,64,61,55,15,185,183,19,20,1,306,7,132,1919
men_40_til_44_year_olds,466,103,100,91,60,59,56,56,12,204,166,19,18,3,329,12,152,1906
men_45_til_49_year_olds,427,147,99,111,39,83,75,49,17,248,139,32,39,6,276,4,153,1944
men_50_til_54_year_olds,349,200,126,122,37,113,90,80,26,301,143,36,35,8,318,31,219,2234
men_55_til_59_year_olds,326,259,156,172,41,145,165,91,32,435,117,42,77,13,358,95,313,2837
men_60_til_64_year_olds,264,299,170,226,42,219,180,96,36,548,86,29,113,17,332,368,317,3342
men_total,4353,1459,1168,1153,481,803,798,490,170,2533,1651,216,354,54,3038,524,1580,20825
women_15_til_19_year_olds,356,80,95,72,70,22,47,20,7,130,174,5,,1,186,,62,1327
women_20_til_24_year_olds,405,62,124,58,45,17,42,18,11,114,235,8,1,1,140,1,82,1364
women_25_til_29_year_olds,435,78,140,47,48,13,51,25,9,114,259,5,4,3,155,,65,1451
women_30_til_34_year_olds,510,77,151,56,54,34,52,42,20,160,262,5,4,6,158,1,124,1716
women_35_til_39_year_olds,490,80,181,54,35,32,78,47,20,156,206,15,5,3,148,1,159,1710
women_40_til_44_year_olds,518,93,200,73,54,39,93,85,27,209,142,13,6,6,137,3,159,1857
women_45_til_49_year_olds,71,19,226,109,53,47,135,100,36,235,108,16,10,13,137,6,226,1547
women_50_til_54_year_olds,514,194,279,153,65,84,154,111,43,368,109,22,9,11,157,23,285,2581
women_55_til_59_year_olds,473,245,322,181,61,109,202,126,40,477,68,29,14,15,188,140,375,3065
women_60_til_64_year_olds,340,246,302,208,59,127,201,112,42,574,70,22,14,21,156,465,380,3339
women_total,4112,1174,2020,1011,544,524,1055,686,255,2537,1633,140,67,80,1562,640,1917,19957
men_women_total,8465,2633,3188,2164,1025,1327,1853,1176,425,5070,3284,356,421,134,4600,1164,3497,40782
procent_total,20.75670639,6.456279731,7.817174244,5.306262567,2.513363739,3.253886519,4.543671228,2.883625129,1.042126428,12.43195527,8.052572213,0.872934138,1.03231818,0.328576333,11.27948605,2.854200383,8.574861458,100
