year,total_the_1929_law,women_the_1929_law,men_the_1929_law,under_18_years_the_1929_law,from_18_to_20_year_olds_the_1929_law,from_21_to_30_year_olds_the_1929_law,above_30_years_the_1929_law,island_dioceses_the_1929_law,jutland_institutions_the_1929_law,institutional_residence_the_1929_law,residence_under_other_care_the_1929_law,residence_at_home_the_1929_law,eugenic_indication_the_1929_law,non_eugenic_indication_the_1929_law,total_the_1934_law,women_the_1934_law,men_the_1934_law,under_18_years_old_the_1934_law,from_18_to_20_years_old_the_1934_law,from_21_to_30_years_old_the_1934_law,above_30_years_the_1934_law,island_dioceses_the_1934_law,jutland_institutions_the_1934_law,kellerske_jutland_institutions_the_1934_law,ribe_jutland_institutions_the_1934_law,vodskov_jutland_institutions_the_1934_law,institutional_residence_the_1934_law,residence_under_other_care_the_1934_law,residence_at_home_the_1934_law,indication_eugenic_the_1934_law,indication_not_eugenic_the_1934_law,indication_eugenic_island_dioceses_the_1934_law,indication_not_eugenic_island_dioceses_the_1934_law,indication_eugenic_jutland_institutions_the_1934_law,indication_not_eugenic_jutland_institutions_the_1934_law,weak_minded_IQ76_to_90_the_1934_law,debile_IQ56_to_75_the_1934_law,imbeciles_IQ36_to_55_the_1934_law,idiots_IQ0_to_35_the_1934_law,weak_minded_island_dioceses_the_1934_law,debile_island_dioceses_the_1934_law,imbeciles_island_dioceses_the_1934_law,idiots_island_dioceses_the_1934_law,weak_minded_jutland_institutions_the_1934_law,debile_jutland_institutions_the_1934_law,imbeciles_jutland_institutions_the_1934_law,idiots_jutland_institutions_the_1934_law,yes_possibility_of_late_maturation_the_1934_law,no_possibility_of_late_maturation_the_1934_law,undisclosed_possibility_of_late_maturation_the_1934_law,reoperation_wanted_the_1934_law,yes_discharge_planned_the_1934_law,undisclosed_discharge_planned_the_1934_law,island_dioceses_institution_IQ_above_75_at_institutions_the_1934_law,the_three_jutland_institutions_IQ_above_75_at_institutions_the_1934_law,kellerske_the_jutlandish_separately_IQ_above_75_at_institutions_the_1934_law,ribe_the_jutlandish_separately_IQ_above_75_at_institutions_the_1934_law,vodskov_the_jutlandish_separately_IQ_above_75_at_institutions_the_1934_law,satisfied_the_1934_law,dissatisfied_the_1934_law,indifferent_the_1934_law,undisclosed_concerning_satisified_or_not_the_1934_law,total_number_of_people_in_institutional_care_in_danish_mental_institutions,island_dioceses_institutions_number_of_people_in_institutional_care_in_danish_mental_institutions,the_jutland_institutions_number_of_people_in_institutional_care_in_danish_mental_institutions,total_the_1935_law,women_the_1935_law,men_the_1935_law,total_every_fifth_year_the_1935_law,women_every_fifth_year_the_1935_law,men_every_fifth_year_the_1935_law,epilepsy_diagnosis_every_fifth_year_the_1935_law,mental_disorder_diagnosis_every_fifth_year_the_1935_law,physical_illness_diagnosis_every_fifth_year_the_1935_law,intellectual_disability_diagnosis_every_fifth_year_the_1935_law,exhaustion_diagnosis_every_fifth_year_the_1935_law,other_diagnosis_every_fifth_year_the_1935_law,undisclosed_diagnosis_every_fifth_year_the_1935_law,amoral_social_and_moral_characteristic_every_fifth_year_the_1935_law,asocial_or_criminal_social_and_moral_characteristic_every_fifth_year_the_1935_law,poor_social_and_moral_characteristic_every_fifth_year_the_1935_law,other_social_and_moral_characteristic_every_fifth_year_the_1935_law,undisclosed_social_and_moral_characteristic_every_fifth_year_the_1935_law,doctor_initiative_every_fifth_year_the_1935_law,institution_initiative_every_fifth_year_the_1935_law,aid_of_mothers_initiative_every_fifth_year_the_1935_law,social_committee_initiative_every_fifth_year_the_1935_law,independent_initiative_initiative_every_fifth_year_the_1935_law,other_authorities_initiative_every_fifth_year_the_1935_law,undisclosed_initiative_every_fifth_year_the_1935_law,institution_support_every_fifth_year_the_1935_law,self_support_support_every_fifth_year_the_1935_law,public_assistance_support_every_fifth_year_the_1935_law,other_support_every_fifth_year_the_1935_law,undisclosed_support_every_fifth_year_the_1935_law,prison_place_of_residence_every_fifth_year_the_1935_law,institution_place_of_residence_every_fifth_year_the_1935_law,other_care_place_of_residence_every_fifth_year_the_1935_law,home_place_of_residence_every_fifth_year_the_1935_law,other_place_of_residence_every_fifth_year_the_1935_law,undisclosed_place_of_residence_every_fifth_year_the_1935_law,eugenic_indication_every_fifth_year_the_1935_law,partially_eugenic_indication_every_fifth_year_the_1935_law,non_eugenic_indication_every_fifth_year_the_1935_law,undisclosed_indication_every_fifth_year_the_1935_law
1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3814,1643,2171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,6,6,0,0,0,2,3,2,4,6,0,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4314,2016,2298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,9,8,1,0,0,3,6,0,7,8,0,1,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4477,2135,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,15,11,4,0,0,11,4,0,15,12,3,0,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4509,2138,2371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,46,38,8,0,0,39,6,22,21,42,3,0,19,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4576,2181,2395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,31,26,5,0,0,26,4,15,13,29,1,1,20,11,32,28,4,0,9,16,7,18,14,14,0,0,31,0,1,11,21,4,14,7,7,3,21,7,0,0,15,3,0,3,6,4,0,0,1,31,2,31,1,0,3,3,0,0,10,5,15,2,4679,2236,2443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,10,9,0,0,0,5,4,0,0,7,0,2,3,7,167,124,43,3,45,106,13,87,80,66,11,3,140,13,13,65,101,29,57,36,44,27,98,33,0,6,60,19,0,21,38,14,0,1,0,166,0,143,24,6,21,17,4,0,66,12,79,10,4881,2317,2564,14,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,,,,,,,,,,,,,,,195,145,50,6,54,112,22,114,81,59,19,3,152,24,17,83,112,44,70,39,42,10,124,56,1,4,79,31,0,6,45,25,1,0,0,195,0,164,31,4,6,4,2,0,70,14,100,11,5398,2675,2723,27,25,2,27,25,2,3,11,0,8,2,1,2,9,3,1,0,14,9,10,0,1,4,1,2,15,8,1,0,3,0,14,2,9,1,1,2,17,7,1
1937,,,,,,,,,,,,,,,251,152,99,10,91,125,23,165,85,67,15,3,175,58,16,95,155,50,115,45,39,10,163,70,2,7,121,30,2,3,41,40,0,1,1,248,1,208,43,7,3,3,0,0,72,21,132,26,5720,2757,2963,31,27,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,,,,,,,,,,,,,,,292,181,111,5,106,149,21,219,72,46,17,9,182,97,12,109,183,81,138,28,44,15,198,74,2,8,155,54,2,7,42,20,0,1,1,290,3,226,66,8,7,5,1,1,119,25,96,52,5842,2830,3012,36,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,,,,,,,,,,,,,,,254,181,73,1,86,137,27,158,96,50,16,30,160,65,26,61,185,26,130,35,55,3,171,79,1,3,110,44,1,0,61,35,0,0,0,254,4,195,59,3,0,0,0,0,92,24,92,46,5914,2890,3024,35,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,,,,,,,,,,,,,,,199,138,61,1,81,96,18,121,78,35,19,24,132,44,14,48,151,18,103,30,48,7,151,40,1,4,97,20,0,3,54,20,1,0,0,199,1,156,43,4,3,2,1,0,122,12,46,19,6151,2939,3212,36,26,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,,,,,,,,,,,,,,,183,119,64,1,74,86,19,110,72,30,21,21,130,42,7,65,116,34,75,30,41,4,139,37,1,1,84,24,0,3,55,13,1,3,1,179,1,162,21,1,3,2,1,0,84,15,54,30,6494,3214,3280,72,61,11,72,61,11,10,16,6,26,7,7,0,20,8,13,8,23,20,34,1,2,15,0,0,34,26,11,1,0,1,35,3,29,4,0,19,41,11,1
1942,,,,,,,,,,,,,,,317,179,138,1,122,160,31,187,129,57,25,47,243,60,12,108,196,46,132,61,64,6,243,66,1,6,144,37,0,0,98,29,1,0,12,305,1,266,51,6,0,0,0,0,124,40,92,61,6735,3185,3550,110,98,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,,,,,,,,,,,,,,320,205,115,0,118,146,48,163,156,67,31,58,238,66,13,114,205,37,126,76,79,11,250,59,0,10,129,24,0,1,120,35,0,3,33,284,0,246,74,10,1,0,1,0,115,22,97,86,6783,3194,3589,125,117,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,,,,,,,,,,,,,,,224,146,78,3,79,112,28,117,107,42,30,35,131,72,17,92,132,33,84,59,48,7,160,53,1,7,92,17,0,0,68,36,1,0,8,216,3,155,69,7,0,0,0,0,79,17,42,86,6636,3242,3394,126,108,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,,,,,,,,,,,,,,,235,158,77,0,100,105,27,104,131,45,36,50,152,66,16,116,119,42,62,74,57,6,171,57,0,6,80,18,0,0,91,39,0,2,29,204,3,181,54,6,0,0,0,0,67,11,41,116,6672,3221,3451,118,100,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,,,,,,,,,,,,,,,294,206,88,0,129,128,31,137,156,36,78,42,213,57,18,154,138,71,64,82,74,1,224,68,0,1,115,20,0,0,108,48,0,0,25,269,6,234,60,1,0,0,0,0,75,19,56,144,,3230,,128,112,16,128,112,16,14,25,13,35,40,0,1,31,7,11,1,78,51,37,34,4,0,1,1,26,96,4,0,2,1,16,9,101,0,1,3,85,39,1
1947,,,,,,,,,,,,,,,273,187,86,0,112,107,44,127,146,39,64,43,172,70,27,141,126,58,65,83,61,5,186,78,0,5,90,28,0,0,96,50,0,1,12,260,1,207,66,5,0,0,0,0,140,13,70,50,6925,3194,3731,183,172,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,,,,,,,,,,,,,,,248,150,98,0,108,118,19,114,134,56,49,29,149,75,19,130,117,56,58,74,59,6,185,55,2,6,90,17,1,0,95,38,1,0,25,223,0,171,77,6,0,0,0,0,103,13,71,61,7033,3251,3782,177,163,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,,,,,,,,,,,,,,,254,159,95,0,114,114,23,129,125,48,38,39,136,89,27,116,138,48,81,68,57,4,190,57,2,3,106,20,0,1,84,37,2,2,41,211,2,181,73,3,1,1,0,0,53,8,30,163,7132,3260,3872,238,223,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,,,,,,,,,,,,,,,302,199,103,0,136,126,25,101,201,66,88,47,187,76,34,171,130,47,53,124,77,1,223,75,0,1,83,17,0,0,140,58,0,0,199,103,0,210,92,1,0,0,0,0,11,3,2,286,7678,3745,3933,312,281,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,202,130,72,2,108,61,20,89,113,42,38,33,134,47,20,99,97,43,44,56,53,2,143,54,2,2,65,19,2,0,78,35,0,2,186,14,5,146,56,2,0,0,0,0,2,0,0,200,7659,3741,3918,331,315,16,331,315,16,19,42,22,60,182,6,0,26,22,234,0,49,54,25,234,3,14,1,0,18,228,51,28,6,1,15,4,307,4,0,11,109,210,1
1952,,,,,,,,,,,,,,,164,120,44,0,80,68,11,83,81,29,27,25,94,47,22,99,65,51,32,48,33,0,125,39,0,0,65,18,0,0,60,21,0,3,146,15,2,109,55,0,0,0,0,0,0,0,0,164,7835,3785,4050,364,329,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,143,111,32,0,74,51,11,79,64,31,14,19,84,33,25,60,83,35,44,25,39,1,99,43,0,1,57,21,0,0,42,22,0,0,125,18,6,93,50,1,0,0,0,0,1,0,0,142,8065,3906,4159,371,334,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,154,119,35,2,89,51,8,67,87,34,32,21,97,41,16,86,68,33,34,53,34,0,110,43,1,0,50,16,1,0,60,27,0,1,141,12,0,105,49,0,0,0,0,0,0,1,1,152,8103,3933,4169,346,291,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,115,78,37,0,65,39,8,63,52,16,17,19,87,17,11,61,53,32,30,29,23,3,72,38,2,3,39,19,2,0,33,19,0,3,111,1,3,85,30,3,0,0,0,0,1,0,0,114,8166,3995,4171,397,351,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,101,79,22,2,58,32,8,36,65,14,30,21,56,30,14,59,42,15,21,44,21,1,69,29,2,1,21,13,1,0,48,16,1,0,94,7,4,66,35,1,0,0,0,0,0,0,0,101,,,,366,307,59,366,307,59,10,42,20,49,218,26,1,7,17,138,1,203,13,14,338,0,0,0,1,11,309,43,0,3,4,6,2,352,1,1,9,107,249,1
1957,,,,,,,,,,,,,,,103,63,40,0,46,52,3,53,50,15,25,10,62,26,15,47,56,19,34,28,22,1,79,21,2,0,43,8,2,1,36,13,0,0,94,9,1,66,37,0,1,1,0,0,0,0,0,103,,,,411,348,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,101,68,33,0,59,35,6,47,54,25,23,6,70,20,10,48,53,19,28,29,25,1,74,25,1,0,34,12,1,1,40,13,0,3,94,4,0,74,27,0,1,1,0,0,0,0,0,101,,,,377,318,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,102,72,30,1,54,42,4,41,61,29,26,6,52,37,11,52,49,15,26,37,23,1,67,32,1,1,27,12,0,0,40,20,1,2,98,2,2,66,36,1,0,0,0,0,0,0,0,102,,,,343,284,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,95,74,21,0,62,26,7,38,56,25,17,14,58,17,18,52,43,16,22,35,21,0,61,34,0,0,23,15,0,0,38,18,0,1,91,3,0,66,29,0,0,0,0,0,0,0,0,95,,,,264,225,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,,84,72,12,1,44,36,3,30,52,24,14,14,39,19,26,44,40,11,19,33,19,1,59,24,0,1,25,4,0,0,32,20,0,0,81,3,2,54,30,1,0,0,0,0,0,0,0,84,,,,351,302,49,351,302,49,3,51,49,57,181,4,6,6,22,217,0,106,14,5,328,1,2,0,1,4,283,37,21,6,2,5,0,344,0,0,10,38,301,2
1962,,,,,,,,,,,,,,,81,71,10,1,40,36,3,38,36,16,3,17,51,9,20,31,50,19,19,12,24,0,59,19,3,0,26,9,3,0,27,9,0,2,78,1,1,48,33,0,0,0,0,0,0,0,0,81,,,,245,207,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,80,69,11,1,30,41,8,34,43,16,7,20,40,20,19,14,65,9,24,5,38,3,51,23,2,2,24,5,2,1,25,17,0,0,80,0,0,39,41,2,1,1,0,0,0,0,0,80,,,,308,259,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,58,47,11,1,25,32,0,26,30,14,2,14,28,10,15,19,39,10,16,9,21,1,37,20,0,0,18,8,0,1,18,11,0,0,58,0,0,27,31,0,1,1,0,0,0,0,0,58,,,,225,178,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,55,48,7,0,27,25,3,30,24,8,6,10,25,10,20,14,41,10,20,4,20,1,36,18,0,1,19,10,0,0,17,7,0,2,53,0,0,26,29,1,0,0,0,0,0,0,0,55,,,,178,138,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,46,43,3,1,17,20,8,25,18,1,3,14,22,15,8,16,30,8,17,7,11,2,32,11,1,2,17,5,1,0,13,5,0,1,45,0,0,17,29,2,0,0,0,0,0,0,0,46,,,,83,72,11,83,72,11,2,6,2,8,59,4,2,2,1,6,0,74,3,4,75,0,0,0,1,3,65,14,0,1,1,2,0,79,1,0,1,13,68,1
