omraade1,maend,procentdel_maend,kvinder,procentdel_kvinder,i_alt,procentdel_af_totale_omraader,folketaelinger_fra_danmarks_statistik_1916_s_54_til_55_Adolph_Jensen_har_brugt,procent_invalide_i_alt_ud_af_befolkninger,,,,,,
koebenhavn_frederiksberg_og_koebstaeder_med_over_20000_indbyggere,2335,44.29059181,2937,55.70940819,5272,24.87261747,804612,0.655222641,,,,,,
andre_koebstaeder_og_landkommuner_med_bymaessige_bebyggelser_med_over_2000_indbyggere,2111,47.523638,2331,52.476362,4442,20.9567843,390641,1.137105424,,,,,,
andre_landkommuner_med_under_2000_indbyggere,6346,55.26911688,5136,44.73088312,11482,54.17059823,1726109,0.665195535,,,,,,
hele_landet,10792,50.91526703,10404,49.08473297,21196,,2921362,0.725551986,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,omraade2,antal,procent_af_befolkning_som_er_invalide,sindssyge_og_aandsvage_i_Danmark_i_1916__procent,Kilde omraade1:,"Rigsdagstidende 1919-20 Tillæg A spalte 3665, Adolph Jensen Det statistiske Departement. Kristiansgade 2. København K. den 29. November 1918, Bilag 1, til Indenrigsministeriet Johs. Dalhoff., målinger fra 1. Februar 1916"
,,,,,,,,,Hovedstaden,605772,,,Kilde omraade2:,"Tabel I Den faktiske og den hjemmehoerende Befolkning den 1. Februar 1916, Folketælling 1916, dst.dk/da/Statistik/udgivelser/VisPub?cid=19602"
,,,,,,,,,Provinsb,604203,,,,
,,,,,,,,,Tils Byerne,1209975,,,,
,,,,,,,,,landdistr,1711387,,0.150600695,,"anmærkning: de invalide er mest fra landet. 0.15% af den Danske befolkning I 1916 d. 1 feb. har feltet af at de er invalide som sindssyge og/eller åndssvage, mens 0.73 % er invalide I et eller andet I og med sindssyge og åndssvage."
,,,,,,,,,hele_landet,2921362,0.725551986,,,
,,,,,,,,,maend,1415822,0.762242711,,,
,,,,,,,,,kvinder,1505540,0.69104773,,,
